Date,Open,High,Low,Close,Volume
2021-07-27 20:00:00-04:00,124.38,125.18,123.58,123.89,695800
2021-07-28 20:00:00-04:00,123.82,126.44,123.71,126.16,713100
2021-07-29 20:00:00-04:00,128.62,129.45,124.72,126.70,704600
2021-08-01 20:00:00-04:00,127.43,128.47,126.83,127.32,458900
2021-08-02 20:00:00-04:00,127.22,127.70,124.87,125.83,724500
2021-08-03 20:00:00-04:00,126.33,126.37,124.92,125.51,588600
2021-08-04 20:00:00-04:00,126.09,126.78,124.77,126.43,506700
2021-08-05 20:00:00-04:00,127.00,127.21,125.18,125.41,560700
2021-08-08 20:00:00-04:00,124.93,124.93,123.45,123.88,697700
2021-08-09 20:00:00-04:00,124.02,124.31,121.06,121.40,1023300
2021-08-10 20:00:00-04:00,121.80,122.76,121.41,122.37,527200
2021-08-11 20:00:00-04:00,122.74,123.19,121.75,122.99,263400
2021-08-12 20:00:00-04:00,123.14,123.99,122.55,123.82,337400
2021-08-15 20:00:00-04:00,123.72,125.05,122.88,124.57,304600
2021-08-16 20:00:00-04:00,124.46,124.74,122.87,124.39,446200
2021-08-17 20:00:00-04:00,124.04,124.66,123.28,124.04,479900
2021-08-18 20:00:00-04:00,123.54,124.78,123.10,124.64,292300
2021-08-19 20:00:00-04:00,124.14,125.20,123.32,124.42,546700
2021-08-22 20:00:00-04:00,124.56,125.05,122.55,122.63,706900
2021-08-23 20:00:00-04:00,122.70,123.10,120.18,120.86,923900
2021-08-24 20:00:00-04:00,120.71,123.38,120.26,122.31,668000
2021-08-25 20:00:00-04:00,122.53,124.31,122.33,123.58,503000
2021-08-26 20:00:00-04:00,124.21,125.30,123.68,124.47,509400
2021-08-29 20:00:00-04:00,125.02,126.39,123.98,126.19,909900
2021-08-30 20:00:00-04:00,126.11,127.45,125.83,127.25,1113300
2021-08-31 20:00:00-04:00,128.01,129.76,127.80,129.35,1585100
2021-09-01 20:00:00-04:00,129.64,130.07,128.55,129.76,1063800
2021-09-02 20:00:00-04:00,129.42,130.47,128.53,130.13,608600
2021-09-06 20:00:00-04:00,130.13,130.13,126.61,127.62,723000
2021-09-07 20:00:00-04:00,126.89,130.65,126.39,129.88,871500
2021-09-08 20:00:00-04:00,129.46,129.75,127.51,127.66,945000
2021-09-09 20:00:00-04:00,127.62,128.84,127.06,127.07,1106200
2021-09-12 20:00:00-04:00,127.48,128.53,127.24,127.55,404400
2021-09-13 20:00:00-04:00,128.06,128.82,127.27,128.18,564200
2021-09-14 20:00:00-04:00,128.36,129.55,127.84,128.16,573900
2021-09-15 20:00:00-04:00,127.86,128.53,126.72,127.68,405400
2021-09-16 20:00:00-04:00,128.12,128.18,125.80,125.82,1308600
2021-09-19 20:00:00-04:00,124.66,126.86,123.93,126.11,698500
2021-09-20 20:00:00-04:00,126.98,128.74,126.95,127.34,837500
2021-09-21 20:00:00-04:00,128.12,128.82,127.68,127.85,976400
2021-09-22 20:00:00-04:00,128.83,129.57,127.78,128.15,433100
2021-09-23 20:00:00-04:00,127.89,128.93,126.97,127.00,399200
2021-09-26 20:00:00-04:00,128.21,128.45,124.82,124.87,557100
2021-09-27 20:00:00-04:00,123.96,126.07,123.32,125.59,739100
2021-09-28 20:00:00-04:00,126.30,128.55,126.25,128.01,797300
2021-09-29 20:00:00-04:00,128.61,128.84,125.74,125.78,529900
2021-09-30 20:00:00-04:00,126.70,128.39,125.14,127.54,327600
2021-10-03 20:00:00-04:00,127.24,129.26,126.87,129.07,492900
2021-10-04 20:00:00-04:00,129.80,129.80,128.10,129.13,747700
2021-10-05 20:00:00-04:00,128.54,130.36,125.55,130.33,545100
2021-10-06 20:00:00-04:00,130.33,131.29,129.43,129.72,423700
2021-10-07 20:00:00-04:00,129.48,129.92,128.40,128.62,298900
2021-10-10 20:00:00-04:00,128.36,129.46,127.54,128.85,231700
2021-10-11 20:00:00-04:00,129.95,131.93,128.81,131.51,903900
2021-10-12 20:00:00-04:00,131.72,133.83,131.00,133.69,680800
2021-10-13 20:00:00-04:00,134.43,135.46,133.83,135.17,494200
2021-10-14 20:00:00-04:00,135.29,135.98,133.19,133.83,398300
2021-10-17 20:00:00-04:00,133.53,135.64,133.00,135.55,629600
2021-10-18 20:00:00-04:00,135.98,135.98,132.97,133.05,415800
2021-10-19 20:00:00-04:00,133.18,134.75,133.13,134.73,328100
2021-10-20 20:00:00-04:00,134.54,135.12,133.95,135.04,244900
2021-10-21 20:00:00-04:00,135.45,136.31,134.89,135.65,324600
2021-10-24 20:00:00-04:00,135.96,135.96,134.17,134.67,332600
2021-10-25 20:00:00-04:00,134.84,136.40,133.45,135.85,428400
2021-10-26 20:00:00-04:00,136.16,136.26,135.15,135.99,580400
2021-10-27 20:00:00-04:00,136.50,139.01,136.50,138.89,545500
2021-10-28 20:00:00-04:00,138.89,140.08,136.55,139.11,783200
2021-10-31 20:00:00-04:00,139.29,139.57,134.41,137.78,534800
2021-11-01 20:00:00-04:00,138.13,138.85,136.47,137.80,524500
2021-11-02 20:00:00-04:00,138.46,140.04,138.05,139.29,749100
2021-11-03 20:00:00-04:00,139.29,139.29,136.22,136.91,532500
2021-11-04 20:00:00-04:00,137.09,138.04,136.42,137.64,275500
2021-11-07 19:00:00-05:00,137.97,138.43,136.37,138.05,326500
2021-11-08 19:00:00-05:00,138.47,139.12,137.60,138.98,279000
2021-11-09 19:00:00-05:00,138.68,140.68,138.68,140.39,554400
2021-11-10 19:00:00-05:00,140.57,141.91,139.36,141.90,595800
2021-11-11 19:00:00-05:00,142.16,142.71,140.74,141.28,460600
2021-11-14 19:00:00-05:00,140.98,143.24,140.44,143.23,359300
2021-11-15 19:00:00-05:00,143.23,143.23,140.29,140.78,474100
2021-11-16 19:00:00-05:00,140.62,142.05,136.91,142.01,602400
2021-11-17 19:00:00-05:00,142.49,142.49,140.58,141.38,555300
2021-11-18 19:00:00-05:00,141.08,142.13,140.20,141.79,525200
2021-11-21 19:00:00-05:00,141.78,143.01,140.51,141.98,485200
2021-11-22 19:00:00-05:00,141.67,144.06,141.09,142.93,563800
2021-11-23 19:00:00-05:00,142.61,145.99,142.60,145.58,469400
2021-11-25 19:00:00-05:00,143.95,145.33,141.69,142.42,612300
2021-11-28 19:00:00-05:00,143.29,146.32,142.89,144.01,838600
2021-11-29 19:00:00-05:00,143.47,144.84,140.91,140.91,1537100
2021-11-30 19:00:00-05:00,141.91,143.51,138.58,138.64,674600
2021-12-01 19:00:00-05:00,139.59,144.49,138.66,143.52,692100
2021-12-02 19:00:00-05:00,144.20,145.12,141.36,142.67,737200
2021-12-05 19:00:00-05:00,143.64,146.60,143.64,144.86,732000
2021-12-06 19:00:00-05:00,146.83,147.14,144.85,146.13,694800
2021-12-07 19:00:00-05:00,146.13,148.35,145.57,148.08,480100
2021-12-08 19:00:00-05:00,147.96,149.03,146.38,146.39,1356800
2021-12-09 19:00:00-05:00,146.74,148.92,146.02,148.14,607100
2021-12-12 19:00:00-05:00,147.71,151.02,146.95,149.90,648000
2021-12-13 19:00:00-05:00,149.63,150.02,146.73,147.95,630800
2021-12-14 19:00:00-05:00,148.17,152.07,148.17,151.59,834900
2021-12-15 19:00:00-05:00,151.43,151.77,148.59,149.54,472200
2021-12-16 19:00:00-05:00,149.31,150.78,146.31,147.07,1696000
2021-12-19 19:00:00-05:00,145.72,147.97,145.11,147.36,416700
2021-12-20 19:00:00-05:00,148.35,149.17,146.88,147.83,668000
2021-12-21 19:00:00-05:00,147.45,149.73,147.45,149.51,960700
2021-12-22 19:00:00-05:00,150.41,150.41,147.51,148.68,372300
2021-12-26 19:00:00-05:00,148.57,151.38,148.17,151.31,274700
2021-12-27 19:00:00-05:00,151.31,152.03,150.92,151.51,414700
2021-12-28 19:00:00-05:00,151.83,152.61,150.16,152.25,630100
2021-12-29 19:00:00-05:00,152.42,153.45,151.79,152.70,394700
2021-12-30 19:00:00-05:00,152.69,154.58,152.69,153.13,434700
2022-01-02 19:00:00-05:00,153.23,153.70,149.60,151.22,525900
2022-01-03 19:00:00-05:00,151.11,153.68,150.98,151.11,809800
2022-01-04 19:00:00-05:00,151.11,151.57,147.86,148.15,537100
2022-01-05 19:00:00-05:00,147.93,149.45,146.25,146.51,331400
2022-01-06 19:00:00-05:00,145.71,145.89,142.80,143.02,934200
2022-01-09 19:00:00-05:00,142.20,144.17,141.22,141.82,1004300
2022-01-10 19:00:00-05:00,142.00,142.21,139.42,141.97,1478800
2022-01-11 19:00:00-05:00,141.97,145.54,141.97,144.61,811400
2022-01-12 19:00:00-05:00,144.95,145.88,144.44,144.56,582300
2022-01-13 19:00:00-05:00,144.55,144.55,140.50,141.91,548700
2022-01-17 19:00:00-05:00,141.28,141.82,138.85,141.12,780500
2022-01-18 19:00:00-05:00,141.66,142.91,139.20,139.26,539800
2022-01-19 19:00:00-05:00,139.30,140.55,135.79,135.83,656500
2022-01-20 19:00:00-05:00,136.56,137.59,134.98,135.13,693100
2022-01-23 19:00:00-05:00,134.34,135.58,130.52,135.40,846200
2022-01-24 19:00:00-05:00,133.95,134.71,131.28,133.49,844700
2022-01-25 19:00:00-05:00,133.64,135.69,131.61,132.37,979300
2022-01-26 19:00:00-05:00,133.18,134.23,128.81,128.99,1504800
2022-01-27 19:00:00-05:00,129.33,135.72,128.25,135.69,1615400
2022-01-30 19:00:00-05:00,135.22,137.41,134.51,137.20,1073700
2022-01-31 19:00:00-05:00,138.17,138.95,135.33,136.69,784500
2022-02-01 19:00:00-05:00,137.08,140.98,137.08,139.79,816300
2022-02-02 19:00:00-05:00,138.64,142.56,138.32,141.58,1155400
2022-02-03 19:00:00-05:00,139.69,144.17,138.83,142.47,992900
2022-02-06 19:00:00-05:00,142.34,143.86,138.83,139.00,1083200
2022-02-07 19:00:00-05:00,138.95,140.02,137.70,139.01,1046500
2022-02-08 19:00:00-05:00,141.01,143.94,140.50,143.84,773100
2022-02-09 19:00:00-05:00,141.64,144.47,140.14,140.68,2085900
2022-02-10 19:00:00-05:00,141.73,143.47,141.03,142.21,1224300
2022-02-13 19:00:00-05:00,142.45,143.39,138.34,138.86,1122600
2022-02-14 19:00:00-05:00,139.54,140.67,139.03,139.37,693300
2022-02-15 19:00:00-05:00,139.41,140.90,138.20,140.35,658700
2022-02-16 19:00:00-05:00,140.13,140.33,138.28,138.69,538700
2022-02-17 19:00:00-05:00,138.38,139.91,137.62,138.75,551000
2022-02-21 19:00:00-05:00,137.88,140.91,136.87,140.05,772500
2022-02-22 19:00:00-05:00,140.48,141.76,137.98,138.94,1190300
2022-02-23 19:00:00-05:00,136.44,140.07,136.00,139.64,561300
2022-02-24 19:00:00-05:00,139.84,144.06,139.41,144.05,720500
2022-02-27 19:00:00-05:00,141.94,143.53,140.12,141.50,951000
2022-02-28 19:00:00-05:00,141.34,142.94,139.47,140.38,973500
2022-03-01 19:00:00-05:00,141.06,143.50,139.48,143.21,877600
2022-03-02 19:00:00-05:00,143.97,145.11,142.38,144.05,550700
2022-03-03 19:00:00-05:00,142.50,147.94,142.21,147.72,587300
2022-03-06 19:00:00-05:00,147.24,148.99,145.65,145.84,760100
2022-03-07 19:00:00-05:00,145.74,146.14,142.40,143.51,792800
2022-03-08 19:00:00-05:00,145.59,146.73,144.43,144.82,973300
2022-03-09 19:00:00-05:00,144.51,145.17,143.70,144.76,888900
2022-03-10 19:00:00-05:00,145.75,146.69,141.93,142.41,371400
2022-03-13 20:00:00-04:00,143.16,143.87,139.86,141.05,797600
2022-03-14 20:00:00-04:00,142.61,142.77,139.95,142.05,525200
2022-03-15 20:00:00-04:00,143.16,144.12,139.60,142.83,762700
2022-03-16 20:00:00-04:00,142.54,144.32,142.54,143.78,882500
2022-03-17 20:00:00-04:00,142.29,144.08,141.09,141.19,1593500
2022-03-20 20:00:00-04:00,141.64,142.21,140.48,141.35,1836600
2022-03-21 20:00:00-04:00,141.35,142.44,138.89,139.41,1148500
2022-03-22 20:00:00-04:00,140.12,140.80,138.32,139.41,708800
2022-03-23 20:00:00-04:00,139.49,140.54,138.83,140.38,640500
2022-03-24 20:00:00-04:00,140.86,141.56,140.38,141.19,770700
2022-03-27 20:00:00-04:00,142.28,146.44,141.23,144.69,2340850
2022-03-28 20:00:00-04:00,145.69,147.04,144.52,146.83,902900
2022-03-29 20:00:00-04:00,145.45,146.31,143.12,146.16,1673500
2022-03-30 20:00:00-04:00,147.08,147.12,143.18,143.22,1645700
2022-03-31 20:00:00-04:00,143.65,148.31,143.35,147.87,2340850
2022-04-03 20:00:00-04:00,148.19,150.42,144.06,145.62,1538800
2022-04-04 20:00:00-04:00,145.64,149.64,145.54,146.42,1232500
2022-04-05 20:00:00-04:00,147.10,151.40,145.73,150.98,1080800
2022-04-06 20:00:00-04:00,150.44,150.44,148.14,148.74,1265500
2022-04-07 20:00:00-04:00,146.27,146.44,143.91,144.95,2070500
2022-04-10 20:00:00-04:00,144.82,146.10,142.14,142.82,1174600
2022-04-11 20:00:00-04:00,142.71,143.91,141.93,142.37,903000
2022-04-12 20:00:00-04:00,142.71,143.25,141.02,142.23,591300
2022-04-13 20:00:00-04:00,142.68,143.36,141.46,141.86,675500
2022-04-17 20:00:00-04:00,141.56,142.51,139.81,140.53,737500
2022-04-18 20:00:00-04:00,141.44,143.13,141.12,142.82,770000
2022-04-19 20:00:00-04:00,143.26,146.02,142.83,145.66,770800
2022-04-20 20:00:00-04:00,146.54,148.51,145.54,147.04,1241500
2022-04-21 20:00:00-04:00,147.04,147.04,143.88,143.97,919500
2022-04-24 20:00:00-04:00,143.67,143.79,139.56,141.49,874100
2022-04-25 20:00:00-04:00,141.33,142.76,140.23,140.40,986600
2022-04-26 20:00:00-04:00,140.54,142.36,139.25,139.35,1087900
2022-04-27 20:00:00-04:00,139.68,140.61,137.57,139.73,1187900
2022-04-28 20:00:00-04:00,138.64,141.67,135.12,135.20,1363700
2022-05-01 20:00:00-04:00,135.84,136.64,127.20,129.57,872600
2022-05-02 20:00:00-04:00,130.31,132.19,128.91,131.51,943900
2022-05-03 20:00:00-04:00,131.22,131.86,127.71,131.66,1126800
2022-05-04 20:00:00-04:00,131.66,132.23,128.67,129.73,978100
2022-05-05 20:00:00-04:00,128.96,129.50,126.67,128.23,707000
2022-05-08 20:00:00-04:00,127.36,127.95,123.04,123.54,851200
2022-05-09 20:00:00-04:00,124.21,125.33,121.36,121.99,766400
2022-05-10 20:00:00-04:00,122.36,125.57,122.18,123.66,751200
2022-05-11 20:00:00-04:00,124.01,124.98,122.51,124.28,786000
2022-05-12 20:00:00-04:00,124.16,125.87,122.42,125.80,792300
2022-05-15 20:00:00-04:00,125.79,126.59,124.00,124.27,566500
2022-05-16 20:00:00-04:00,124.66,125.55,122.48,123.37,1136900
2022-05-17 20:00:00-04:00,123.22,123.43,118.80,119.12,909300
2022-05-18 20:00:00-04:00,118.29,120.11,118.18,118.92,664200
2022-05-19 20:00:00-04:00,120.15,120.15,117.81,119.47,1789500
2022-05-22 20:00:00-04:00,120.34,121.92,118.32,121.36,616600
2022-05-23 20:00:00-04:00,121.16,121.96,118.93,121.70,842500
2022-05-24 20:00:00-04:00,121.61,122.36,120.18,122.02,856900
2022-05-25 20:00:00-04:00,122.67,123.79,121.79,122.28,553600
2022-05-26 20:00:00-04:00,122.67,125.23,122.12,124.93,538000
2022-05-30 20:00:00-04:00,123.98,124.74,122.70,123.65,1665000
2022-05-31 20:00:00-04:00,123.92,124.39,121.22,123.71,917200
2022-06-01 20:00:00-04:00,123.48,124.72,121.27,124.66,1088200
2022-06-02 20:00:00-04:00,123.86,124.79,122.53,123.71,616300
2022-06-05 20:00:00-04:00,124.36,124.36,120.34,120.50,869700
2022-06-06 20:00:00-04:00,120.18,123.06,119.62,122.91,738100
2022-06-07 20:00:00-04:00,122.36,122.70,119.92,120.09,509900
2022-06-08 20:00:00-04:00,119.59,120.04,116.09,116.25,855000
2022-06-09 20:00:00-04:00,115.30,115.97,114.24,114.77,726500
2022-06-12 20:00:00-04:00,112.62,113.14,108.44,109.01,721100
2022-06-13 20:00:00-04:00,109.34,109.93,107.86,108.58,746400
2022-06-14 20:00:00-04:00,109.40,112.19,108.09,110.77,1572300
2022-06-15 20:00:00-04:00,108.53,110.79,108.53,109.94,1366000
2022-06-16 20:00:00-04:00,110.62,112.35,109.78,110.80,2340850
2022-06-20 20:00:00-04:00,111.24,114.12,111.24,112.34,1303000
2022-06-21 20:00:00-04:00,111.71,115.33,111.71,113.65,792000
2022-06-22 20:00:00-04:00,114.19,116.15,114.19,116.00,535700
2022-06-23 20:00:00-04:00,116.20,116.75,115.01,116.43,1216100
2022-06-26 20:00:00-04:00,116.11,118.82,115.40,116.81,824700
2022-06-27 20:00:00-04:00,117.64,118.87,115.89,116.14,514600
2022-06-28 20:00:00-04:00,115.57,116.72,114.95,116.21,549600
2022-06-29 20:00:00-04:00,115.74,118.16,114.73,116.70,769900
2022-06-30 20:00:00-04:00,116.66,118.40,115.84,118.07,447300
2022-07-04 20:00:00-04:00,117.45,118.24,113.72,116.20,701100
2022-07-05 20:00:00-04:00,117.11,117.73,115.84,116.92,457600
2022-07-06 20:00:00-04:00,117.25,118.10,115.88,116.42,435600
2022-07-07 20:00:00-04:00,116.19,116.67,114.88,115.19,411800
2022-07-10 20:00:00-04:00,115.01,115.86,114.00,115.23,386300
2022-07-11 20:00:00-04:00,114.68,116.39,114.29,115.03,696800
2022-07-12 20:00:00-04:00,114.45,115.34,113.10,114.85,489300
2022-07-13 20:00:00-04:00,112.68,114.10,112.68,113.24,766100
2022-07-14 20:00:00-04:00,114.82,115.46,113.63,114.62,487700
2022-07-17 20:00:00-04:00,115.10,115.54,113.29,113.80,431300
2022-07-18 20:00:00-04:00,114.69,116.30,113.88,116.13,507500
2022-07-19 20:00:00-04:00,116.19,117.35,115.41,116.22,489700
2022-07-20 20:00:00-04:00,116.19,116.88,115.55,116.78,394400
2022-07-21 20:00:00-04:00,117.44,118.53,116.65,117.88,436600
2022-07-24 20:00:00-04:00,117.92,119.04,117.42,117.89,422100
2022-07-25 20:00:00-04:00,117.93,118.81,116.77,117.15,540500
2022-07-26 20:00:00-04:00,117.11,117.97,116.36,117.85,742900
2022-07-27 20:00:00-04:00,118.76,122.90,118.61,122.64,862700
2022-07-28 20:00:00-04:00,121.62,123.42,120.37,122.44,1062800
2022-07-31 20:00:00-04:00,121.91,122.19,119.51,120.55,1075500
2022-08-01 20:00:00-04:00,120.69,121.30,118.82,118.95,1063500
2022-08-02 20:00:00-04:00,119.09,120.10,118.02,118.28,1400400
2022-08-03 20:00:00-04:00,118.21,119.67,116.06,118.98,992800
2022-08-04 20:00:00-04:00,118.26,119.26,117.23,119.13,765700
2022-08-07 20:00:00-04:00,120.07,121.40,119.43,119.74,886100
2022-08-08 20:00:00-04:00,120.10,122.58,119.70,122.28,828200
2022-08-09 20:00:00-04:00,123.58,124.54,122.81,124.40,508700
2022-08-10 20:00:00-04:00,124.77,125.99,124.23,124.40,528000
2022-08-11 20:00:00-04:00,125.13,126.46,125.13,126.45,458500
2022-08-14 20:00:00-04:00,126.55,127.20,125.74,126.89,426600
2022-08-15 20:00:00-04:00,126.39,128.19,126.31,127.31,457300
2022-08-16 20:00:00-04:00,126.62,127.46,125.84,127.18,595900
2022-08-17 20:00:00-04:00,126.92,127.70,124.69,124.80,671200
2022-08-18 20:00:00-04:00,124.46,124.57,123.22,123.48,688500
2022-08-21 20:00:00-04:00,122.63,122.84,120.71,120.79,527900
2022-08-22 20:00:00-04:00,120.29,120.44,116.98,118.05,578700
2022-08-23 20:00:00-04:00,118.09,119.12,117.71,118.64,638600
2022-08-24 20:00:00-04:00,119.38,119.94,118.25,119.92,709100
2022-08-25 20:00:00-04:00,119.92,119.92,116.85,116.89,696200
2022-08-28 20:00:00-04:00,116.60,116.60,114.95,114.97,511700
2022-08-29 20:00:00-04:00,115.11,115.44,112.81,113.15,952700
2022-08-30 20:00:00-04:00,113.44,113.87,111.09,111.52,1339100
2022-08-31 20:00:00-04:00,110.96,112.14,109.17,112.03,962800
2022-09-01 20:00:00-04:00,112.72,113.38,109.70,109.94,856300
2022-09-05 20:00:00-04:00,110.50,113.22,110.50,112.89,1320900
2022-09-06 20:00:00-04:00,113.01,113.63,112.25,113.62,690600
2022-09-07 20:00:00-04:00,113.36,116.07,113.11,115.54,993900
2022-09-08 20:00:00-04:00,115.80,117.60,114.98,117.01,728700
2022-09-11 20:00:00-04:00,117.32,118.03,116.71,117.20,503600
2022-09-12 20:00:00-04:00,115.25,116.13,114.17,114.82,763700
2022-09-13 20:00:00-04:00,114.28,114.80,112.05,113.47,911200
2022-09-14 20:00:00-04:00,113.57,114.26,111.93,112.06,757900
2022-09-15 20:00:00-04:00,112.34,112.34,110.29,111.94,1160300
2022-09-18 20:00:00-04:00,110.66,111.50,109.03,110.98,775200
2022-09-19 20:00:00-04:00,110.07,110.20,106.56,107.70,824500
2022-09-20 20:00:00-04:00,108.26,109.23,106.26,106.26,670100
2022-09-21 20:00:00-04:00,106.12,107.05,104.93,106.54,885100
2022-09-22 20:00:00-04:00,105.81,108.50,105.16,105.82,1035600
2022-09-25 20:00:00-04:00,105.23,105.39,102.45,103.02,1498700
2022-09-26 20:00:00-04:00,103.75,104.56,101.56,101.81,761700
2022-09-27 20:00:00-04:00,103.12,104.84,101.72,104.45,943200
2022-09-28 20:00:00-04:00,103.86,104.42,102.13,103.40,736300
2022-09-29 20:00:00-04:00,104.52,105.06,103.49,104.47,1310700
2022-10-02 20:00:00-04:00,106.08,107.95,104.96,106.81,1133400
2022-10-03 20:00:00-04:00,107.44,108.76,106.77,107.70,925100
2022-10-04 20:00:00-04:00,106.32,106.83,103.66,104.45,723600
2022-10-05 20:00:00-04:00,104.23,104.94,101.69,101.78,818000
2022-10-06 20:00:00-04:00,100.75,101.15,98.31,98.83,816700
2022-10-09 20:00:00-04:00,99.27,99.91,97.66,97.94,2083400
2022-10-10 20:00:00-04:00,97.67,99.74,97.29,99.23,731900
2022-10-11 20:00:00-04:00,98.81,98.81,96.94,98.08,501000
2022-10-12 20:00:00-04:00,96.64,100.45,95.91,100.06,560200
2022-10-13 20:00:00-04:00,101.21,101.39,96.60,96.80,608700
2022-10-16 20:00:00-04:00,98.81,101.24,98.27,100.94,721500
2022-10-17 20:00:00-04:00,102.14,103.61,100.58,100.98,1141100
2022-10-18 20:00:00-04:00,100.18,100.35,97.74,98.59,521300
2022-10-19 20:00:00-04:00,99.12,100.07,97.61,98.19,766900
2022-10-20 20:00:00-04:00,98.49,99.64,96.88,99.61,698800
2022-10-23 20:00:00-04:00,100.72,100.83,98.36,98.83,750600
2022-10-24 20:00:00-04:00,99.40,102.74,98.79,102.13,2174300
2022-10-25 20:00:00-04:00,102.10,102.72,100.03,100.63,914200
2022-10-26 20:00:00-04:00,101.19,102.58,100.09,100.49,831800
2022-10-27 20:00:00-04:00,97.05,100.89,96.86,100.56,1126600
2022-10-30 20:00:00-04:00,100.04,101.59,99.19,101.06,1085400
2022-10-31 20:00:00-04:00,102.04,102.04,100.43,100.93,664900
2022-11-01 20:00:00-04:00,100.49,101.38,97.65,97.86,815300
2022-11-02 20:00:00-04:00,96.86,97.58,94.49,96.28,1252200
2022-11-03 20:00:00-04:00,96.87,97.85,94.37,97.52,1211100
2022-11-06 19:00:00-05:00,98.05,98.40,94.87,95.89,984600
2022-11-07 19:00:00-05:00,96.43,96.87,95.24,96.08,596500
2022-11-08 19:00:00-05:00,95.87,96.77,95.18,95.66,575400
2022-11-09 19:00:00-05:00,99.83,101.94,99.05,101.63,736100
2022-11-10 19:00:00-05:00,101.63,102.33,100.07,100.78,725800
2022-11-13 19:00:00-05:00,100.49,101.08,97.80,97.84,868300
2022-11-14 19:00:00-05:00,99.32,100.56,98.83,100.26,954600
2022-11-15 19:00:00-05:00,99.98,101.52,99.56,99.98,1650000
2022-11-16 19:00:00-05:00,98.88,100.16,98.48,99.29,1213700
2022-11-17 19:00:00-05:00,100.51,101.15,99.55,100.42,769800
2022-11-20 19:00:00-05:00,99.95,101.85,99.74,101.67,880400
2022-11-21 19:00:00-05:00,101.99,102.42,101.25,102.18,633500
2022-11-22 19:00:00-05:00,101.97,102.71,101.30,102.66,598200
2022-11-24 19:00:00-05:00,102.77,103.51,102.42,103.32,302500
2022-11-27 19:00:00-05:00,102.81,103.12,100.53,100.76,1293000
2022-11-28 19:00:00-05:00,100.75,103.12,100.29,102.98,889700
2022-11-29 19:00:00-05:00,102.20,105.27,101.41,105.24,1105300
2022-11-30 19:00:00-05:00,106.11,106.94,103.40,104.51,568400
2022-12-01 19:00:00-05:00,103.34,105.31,103.08,104.85,619400
2022-12-04 19:00:00-05:00,103.88,103.88,101.24,101.80,1164900
2022-12-05 19:00:00-05:00,102.32,102.38,99.63,100.26,987200
2022-12-06 19:00:00-05:00,100.09,100.96,99.34,99.95,1205400
2022-12-07 19:00:00-05:00,100.14,102.08,100.03,101.64,990800
2022-12-08 19:00:00-05:00,101.59,102.53,101.09,101.45,799100
2022-12-11 19:00:00-05:00,101.27,101.77,99.53,101.71,703600
2022-12-12 19:00:00-05:00,104.67,104.95,101.80,103.59,892900
2022-12-13 19:00:00-05:00,103.40,104.73,101.69,102.14,820100
2022-12-14 19:00:00-05:00,102.13,102.80,100.40,101.16,1445800
2022-12-15 19:00:00-05:00,99.74,99.74,97.40,98.93,1596600
2022-12-18 19:00:00-05:00,98.73,98.73,96.75,97.33,669700
2022-12-19 19:00:00-05:00,96.60,97.64,95.85,96.81,918000
2022-12-20 19:00:00-05:00,97.30,98.33,97.00,97.45,578000
2022-12-21 19:00:00-05:00,96.82,97.46,95.74,97.13,713200
2022-12-22 19:00:00-05:00,97.09,98.14,96.52,98.14,472100
2022-12-26 19:00:00-05:00,98.19,98.45,97.21,98.32,311100
2022-12-27 19:00:00-05:00,98.63,98.94,96.80,96.86,438400
2022-12-28 19:00:00-05:00,97.49,100.10,96.94,99.58,946300
2022-12-29 19:00:00-05:00,99.05,99.60,97.49,98.64,555500
2023-01-02 19:00:00-05:00,99.30,99.82,96.97,97.59,556600
2023-01-03 19:00:00-05:00,98.41,99.97,98.11,99.41,2109500
2023-01-04 19:00:00-05:00,98.63,98.93,95.75,96.70,935700
2023-01-05 19:00:00-05:00,96.98,100.82,96.92,100.51,578700
2023-01-08 19:00:00-05:00,100.04,101.01,99.36,99.64,1114800
2023-01-09 19:00:00-05:00,100.48,100.48,99.19,99.98,613200
2023-01-10 19:00:00-05:00,100.88,104.37,100.59,104.29,856600
2023-01-11 19:00:00-05:00,104.80,105.45,103.71,104.33,804500
2023-01-12 19:00:00-05:00,103.34,104.41,102.71,104.00,795300
2023-01-16 19:00:00-05:00,104.28,105.41,103.69,103.81,706500
2023-01-17 19:00:00-05:00,103.97,104.08,101.55,101.62,549100
2023-01-18 19:00:00-05:00,101.17,102.75,100.85,100.99,576400
2023-01-19 19:00:00-05:00,101.10,101.34,99.69,101.11,872800
2023-01-22 19:00:00-05:00,101.04,101.92,100.28,101.28,506000
2023-01-23 19:00:00-05:00,101.55,104.15,100.61,104.07,898700
2023-01-24 19:00:00-05:00,103.74,105.21,103.30,105.16,1782500
2023-01-25 19:00:00-05:00,105.72,106.23,104.90,105.67,623200
2023-01-26 19:00:00-05:00,105.65,107.76,105.54,107.26,639400
2023-01-29 19:00:00-05:00,106.54,107.59,105.57,105.61,564700
2023-01-30 19:00:00-05:00,105.57,108.64,105.25,108.63,1092800
2023-01-31 19:00:00-05:00,107.98,110.12,106.84,109.11,915400
2023-02-01 19:00:00-05:00,109.97,112.51,109.97,111.37,1401900
2023-02-02 19:00:00-05:00,108.01,109.02,106.01,107.34,1328700
2023-02-05 19:00:00-05:00,105.86,108.25,105.41,107.96,860800
2023-02-06 19:00:00-05:00,107.29,109.70,106.79,109.03,1097700
